oid,expid,hjd,mjd,mag,magerr,catflags,filtercode,ra,dec,chi,sharp,filefracday,field,ccdid,qid,limitmag,magzp,magzprms,clrcoeff,clrcounc,exptime,airmass,programid
766207400013324,134520273,2459099.7048402090,59099.202731500000,16.759396,0.0143198827,0,zr,292.46000370000000,46.372983700000000,0.64300001,0.0320000015,20200907202731,766,7,4,21.2800007,26.2343082,0.0138303004,0.0873459727,4.81313282E-06,30.0,1.04200006,1
766207400013324,135328263,2459107.7845528540,59107.282638900000,16.760410,0.0143242124,0,zr,292.46000000000000,46.372995700000000,0.81599998,0.0799999982,20200915282581,766,7,4,20.7399998,25.8387260,0.0136186080,0.0903910846,4.51992400E-06,30.0,1.26300001,1
766207400013324,135624334,2459110.7451790106,59110.243344900000,16.766369,0.0143497316,0,zr,292.46001210000000,46.372993900000000,0.59100002,0.0280000009,20200918243287,766,7,4,20.4300003,25.8296165,0.0140976254,0.0978300795,5.02989178E-06,30.0,1.15799999,1
766207400013324,135915483,2459113.6565894490,59113.154838000000,16.783064,0.0144219743,0,zr,292.46002060000000,46.372981800000000,0.62400001,0.0149999997,20200921154838,766,7,4,21.4099998,26.2231197,0.0154065499,0.0845416635,5.88659623E-06,30.0,1.03699994,1
766207400013324,136220342,2459116.7050865760,59116.203425900000,16.773495,0.0143804271,0,zr,292.46002320000000,46.372983800000000,0.85399997,0.0619999990,20200924203414,766,7,4,21.1000004,26.2194042,0.0148807429,0.0788958892,5.48420167E-06,30.0,1.10300004,1
766207400013324,136926922,2459123.7706597187,59123.269224500000,16.802629,0.0145080574,0,zr,292.45999140000000,46.372977300000000,0.39899999,0.0049999999,20201001269225,766,7,4,19.7500000,26.1887493,0.0188060515,0.0831882805,9.04011995E-06,30.0,1.41299999,1
766207400013324,137112219,2459125.6235720860,59125.122199100000,16.796768,0.0144821098,0,zr,292.46002820000000,46.373014200000000,0.96700001,0.0740000010,20201003122199,766,7,4,20.5900002,26.2916641,0.0150988251,0.0795515850,5.90266563E-06,30.0,1.03699994,1
766207400013324,137312065,2459127.6219641347,59127.120659700000,16.794811,0.0144734737,0,zr,292.46003700000000,46.372989600000000,1.19599998,0.1270000041,20201005120660,766,7,4,20.6200008,25.7203121,0.0308642741,0.0670348927,2.67996365E-05,30.0,1.03900003,1
766207400013324,137512111,2459129.6223455733,59129.121111100000,16.813454,0.0145563520,0,zr,292.46003950000000,46.372991600000000,0.97200000,0.1000000015,20201007121111,766,7,4,21.3999996,26.2724190,0.0144476593,0.0814851150,5.36585003E-06,30.0,1.04200006,1
766207400013324,138116020,2459135.6612242010,59135.160208300000,16.852831,0.0147361588,0,zr,292.46000960000000,46.372987600000000,0.50500000,0.0010000000,20201013160185,766,7,4,21.2900009,26.2819195,0.0141147897,0.0838859826,4.92846675E-06,30.0,1.12000000,1
766207400013324,138311456,2459137.6155032920,59137.114560200000,16.846394,0.0147063173,0,zr,292.46002710000000,46.372983100000000,0.77399999,0.0489999987,20201015114549,766,7,4,21.3899994,26.2871075,0.0151000507,0.0830503777,5.67167262E-06,30.0,1.05499995,1
