|BAT_NAME|RA|DEC|SNR|COUNTERPART_NAME|OTHER_NAME|CTPT_RA|CTPT_DEC|FLUX|FLUX_LO|FLUX_HI|CONTA|GAMM|GAMM|GAMM|CHI_SQ_R|REDSHIF|LUM|ASSOC_STREN|CL2|TYPE
134|SWIFTJ0234.6-0848|38.644|-8.774|16.36|NGC985||38.6574|-8.7876|31.90|28.14|35.86|0.00|2.13|1.97|2.30|2.70|0.0430|44.14|0|4|Sy1
135|SWIFTJ0235.3-2934|38.850|-29.598|9.09|ESO416-G002||38.8061|-29.6047|22.98|18.57|27.67|0.00|1.54|1.27|1.81|0.40|0.0592|44.29|0|5|Sy1.9
136|SWIFTJ0238.2-5213|39.576|-52.225|15.84|ESO198-024||39.5821|-52.1923|29.56|25.84|33.46|0.00|1.79|1.63|1.96|0.90|0.0455|44.16|4|4|Sy1
137|SWIFTJ0238.5-6119|39.623|-61.317|5.92|2MASXJ02384313-6117227||39.6796|-61.2896|12.34|8.61|16.44|0.00|1.65|1.25|2.08|1.00|0.0000|NULL|0|2|Galaxy
138|SWIFTJ0238.8-4039|39.753|-40.658|8.30|2MASXJ02384897-4038377|1RXSJ023849.4-403844|39.7040|-40.6439|13.36|10.05|17.01|0.00|2.12|1.79|2.52|0.80|0.0618|44.09|0|4|Sy1
139|SWIFTJ0240.5+6118|40.180|61.260|12.19|LSI+61303|V615Cas|40.1319|61.2293|28.31|24.02|32.85|0.00|1.84|1.63|2.06|0.60|0.0000|NULL|0|13|HMXB
140|SWIFTJ0241.3-0816|40.275|-8.257|12.47|NGC1052||40.2700|-8.2558|29.46|24.95|34.22|0.00|1.78|1.58|2.00|0.20|0.0050|42.22|0|5|Sy2
141|SWIFTJ0241.6+0711|40.393|7.188|5.53|Mrk595|1RXSJ024135.2+071117|40.3954|7.1872|10.86|7.12|15.26|0.00|2.29|1.78|2.95|0.70|0.0270|43.26|0|4|Sy1.5
142|SWIFTJ0242.0+0516|40.501|5.275|5.09|2MASXJ02420381+0510061||40.5158|5.1684|12.16|0.00|0.00|0.06|1.62|0.00|0.00|0.30|0.0690|44.15|0|5|Sy2
143|SWIFTJ0242.2+0531|40.575|5.509|5.28|2MASXJ02421465+0530361|1RXSJ024215.2+053037|40.5610|5.5100|10.04|0.00|0.00|0.05|2.20|0.00|0.00|0.90|0.0690|44.06|0|4|Sy1
144|SWIFTJ0242.6+0000|40.663|-0.020|15.64|NGC1068||40.6696|-0.0133|35.09|30.91|39.44|0.00|1.91|1.76|2.07|6.70|0.0038|42.05|0|5|Sy2
145|SWIFTJ0243.9+5324|40.972|53.432|4.98|2MFGC02171||41.0125|53.4745|8.43|5.32|12.10|0.00|2.35|1.82|3.02|0.80|-1.0000|NULL|0|2|Galaxy
146|SWIFTJ0244.7-2433|41.141|-24.503|5.05|ESO479-G031||41.1989|-24.5139|9.05|5.40|13.42|0.00|1.99|1.39|2.69|0.60|0.0235|43.06|0|6|LINER
147|SWIFTJ0244.8+6227|41.274|62.450|40.69|[HB89]0241+622||41.2404|62.4685|90.54|86.44|94.72|0.00|1.90|1.84|1.96|2.50|0.0440|44.61|0|4|Sy1
148|SWIFTJ0245.2+1047|41.291|10.782|5.77|4C+10.08||41.3061|10.7897|12.78|8.61|17.56|0.00|2.04|1.59|2.57|0.60|0.0700|44.18|0|7|BLLac
149|SWIFTJ0249.1+2627|42.273|26.473|12.06|2MASXJ02485937+2630391||42.2472|26.5109|33.97|28.81|39.40|0.00|1.69|1.48|1.90|0.70|0.0579|44.44|0|5|Sy2
150|SWIFTJ0250.4+4648|42.605|46.772|9.07|2MASXJ02502722+4647295||42.6133|46.7915|20.04|15.88|24.53|0.00|2.07|1.78|2.40|0.90|-1.0000|NULL|0|2|Galaxy
151|SWIFTJ0251.3+5441|42.636|54.708|8.98|2MFGC02280|IGRJ02504+5443|42.6775|54.7049|27.07|22.28|32.14|0.00|1.49|1.24|1.73|0.70|0.0152|43.14|0|5|Sy2
152|SWIFTJ0250.7+4142|42.677|41.708|6.59|NGC1106||42.6688|41.6715|18.58|13.95|23.57|0.00|1.62|1.30|1.96|1.80|0.0145|42.94|2|5|Sy2
153|SWIFTJ0251.6-1639|42.928|-16.633|7.98|NGC1125||42.9180|-16.6510|17.43|13.42|21.80|0.00|1.81|1.50|2.13|1.20|0.0110|42.67|0|5|Sy2
154|SWIFTJ0252.1-6758|42.966|-67.974|5.27|2MASXJ02513173-6803059||42.8826|-68.0515|7.99|4.14|12.52|0.00|1.97|1.26|3.10|1.00|-1.0000|NULL|0|2|Galaxy
155|SWIFTJ0252.3+4312|43.053|43.210|5.81|FGC0351||43.1418|43.1674|13.06|8.71|17.92|0.00|1.76|1.32|2.26|0.70|0.0518|43.92|0|2|QSO/LPQ
156|SWIFTJ0252.7-0822|43.109|-8.516|11.93|MCG-02-08-014||43.0975|-8.5104|26.07|21.99|30.41|0.00|1.95|1.74|2.17|0.90|0.0168|43.22|0|5|Sy2,hidden
157|SWIFTJ0255.2-0011|43.792|-0.166|33.61|NGC1142||43.8008|-0.1836|88.43|83.54|93.42|0.00|1.71|1.63|1.78|0.90|0.0289|44.23|0|5|Sy2
158|SWIFTJ0256.2+1925|44.033|19.436|18.19|XYAri|2E0253.3+1914|44.0375|19.4414|36.45|32.46|40.63|0.00|2.29|2.13|2.46|0.40|0.0000|NULL|4|9|CV/DQHer
159|SWIFTJ0256.4-3212|44.091|-32.158|14.86|ESO417-G006||44.0898|-32.1856|30.66|26.85|34.64|0.00|1.87|1.71|2.04|1.80|0.0163|43.26|0|5|Sy2
160|SWIFTJ0259.0+1334|44.756|13.559|5.60|ABELL401||44.7373|13.5823|7.58|5.83|9.59|0.00|4.63|3.75|6.02|0.60|0.0748|44.02|0|3|GalaxyCluster
161|SWIFTJ0259.9+4419|44.947|44.335|4.80|2MASXJ02593756+4417180||44.9065|44.2884|12.52|7.85|17.90|0.00|1.78|1.22|2.41|1.80|-1.0000|NULL|0|2|Galaxy
162|SWIFTJ0300.0-1048|45.001|-10.806|8.23|MCG-02-08-038||45.0180|-10.8246|17.63|13.64|21.98|0.00|1.94|1.63|2.27|1.50|0.0326|43.64|4|4|Sy1
163|SWIFTJ0304.1-0108|45.938|-1.136|13.85|NGC1194|LEDA11537|45.9546|-1.1037|36.58|31.83|41.52|0.00|1.68|1.51|1.85|2.20|0.0136|43.18|0|4|Sy1
164|SWIFTJ0308.5-7251|46.989|-72.843|6.76|ESO031-G008||46.8972|-72.8340|12.43|9.06|16.15|0.00|1.94|1.59|2.34|1.00|0.0276|43.34|0|4|Sy1.2
165|SWIFTJ0308.2-2258|47.012|-22.969|4.96|NGC1229||47.0449|-22.9608|10.90|7.03|15.29|0.00|1.76|1.29|2.27|1.80|0.0360|43.51|0|5|Sy2
166|SWIFTJ0311.1+3241|47.777|32.710|5.12|2MASXJ03104435+3239296||47.6850|32.6580|8.05|4.72|12.15|0.00|2.56|1.92|3.58|0.60|0.1270|44.53|0|6|Sy
167|SWIFTJ0311.5-2045|47.830|-20.749|10.34|RXJ0311.3-2046||47.8284|-20.7717|23.98|19.79|28.44|0.00|1.75|1.53|1.99|1.00|0.0670|44.42|0|4|Sy1.5
168|SWIFTJ0311.8-7653|47.961|-76.882|6.94|[HB89]0312-770||47.9802|-76.8641|12.97|9.37|16.98|0.00|1.99|1.60|2.43|0.80|0.2230|45.28|4|8|Sy1.2/FSRQ
169|SWIFTJ0311.9+5032|48.016|50.513|5.07|2MASXJ03120291+5029147|1RXSJ031202.7+502922|48.0123|50.4874|10.31|6.58|14.69|0.00|2.20|1.68|2.88|2.20|-1.0000|NULL|0|2|Galaxy
170|SWIFTJ0312.9+4121|48.224|41.357|5.57|QSOB0309+411|QSOB0309+411|48.2580|41.3330|17.66|12.37|23.51|0.00|1.52|1.07|1.99|0.40|0.1360|44.94|0|4|Sy1
171|SWIFTJ0317.2+0116|49.279|1.250|5.57|MCG+00-09-042||49.2592|1.2550|13.27|9.22|17.86|0.00|1.87|1.49|2.29|2.30|0.0238|43.23|0|5|Sy2LINER
172|SWIFTJ0318.7+6828|49.532|68.492|7.28|2MASXJ03181899+6829322||49.5791|68.4921|17.77|13.57|22.31|0.00|1.72|1.42|2.05|0.50|0.0901|44.56|0|5|Sy1.9
173|SWIFTJ0319.7+4132|49.940|41.518|50.92|NGC1275||49.9507|41.5117|73.40|70.88|76.00|0.00|3.69|3.59|3.80|2.50|0.0176|43.71|0|5|Sy2/PerseusCluster
174|SWIFTJ0324.8+3410|51.179|34.176|10.29|1H0323+342||51.1715|34.1794|29.93|24.79|35.37|0.00|1.73|1.48|1.98|0.80|0.0610|44.43|0|4|Sy1
175|SWIFTJ0325.0-4154|51.252|-41.864|5.41|LCRSB032315.2-420449||51.2595|-41.9048|8.17|5.20|11.74|0.00|2.20|1.66|2.88|0.90|0.0580|43.82|0|4|Sy1
176|SWIFTJ0324.9+4044|51.292|40.728|6.78|IRAS03219+4031|LEDA97012|51.3051|40.6985|19.41|14.42|24.85|0.00|1.71|1.34|2.10|0.70|0.0477|44.02|0|6|doubleAGN
177|SWIFTJ0325.6-0907|51.369|-9.096|5.16|SWIFTJ0325.6-0907||51.3915|-9.1194|10.77|6.90|15.24|0.00|1.98|1.48|2.59|0.20|-1.0000|NULL|6|0|transient?
178|SWIFTJ0326.0-5633|51.475|-56.564|5.12|2MASXJ03252346-5635443||51.3480|-56.5957|8.62|5.23|12.56|0.00|1.81|1.27|2.42|0.50|0.0602|43.88|0|2|XBONG
179|SWIFTJ0328.4-2846|52.167|-28.718|6.50|PKS0326-288||52.1522|-28.6989|13.23|9.47|17.41|0.00|1.84|1.45|2.25|1.10|0.1080|44.60|0|5|Sy1.9
180|SWIFTJ0331.3+0538|52.724|5.655|5.56|2MASXJ03305218+0538253||52.7174|5.6404|11.02|7.47|15.10|0.00|2.39|1.93|3.00|1.20|0.0460|43.74|0|4|Sy1
181|SWIFTJ0331.1+4355|52.780|43.933|47.09|GKPer|3A0327+438|52.7993|43.9047|77.52|74.32|80.78|0.00|2.87|2.79|2.95|5.50|0.0000|NULL|1|9|CV/DQHer
182|SWIFTJ0331.4-0510|52.850|-5.161|5.52|MCG-01-09-045||52.8459|-5.1418|12.75|8.60|17.49|0.00|1.93|1.48|2.46|0.10|0.0128|42.67|0|5|Sy2
183|SWIFTJ0333.3+3720|53.324|37.328|9.45|2MASXJ03331873+3718107|IGRJ03334+3718|53.3282|37.3030|24.35|19.84|29.18|0.00|1.98|1.73|2.25|0.30|0.0558|44.26|0|4|Sy1.5
184|SWIFTJ0333.6-3607|53.405|-36.149|34.64|NGC1365||53.4016|-36.1404|64.07|60.54|67.68|0.00|1.99|1.92|2.07|10.90|0.0055|42.63|4|5|Sy1.8
185|SWIFTJ0334.4-1515|53.600|-15.250|5.81|2MASXJ03342453-1513402|RHS23|53.6022|-15.2277|12.46|8.62|16.78|0.00|1.85|1.45|2.30|1.10|0.0349|43.55|4|4|Sy1.5
186|SWIFTJ0334.9+5308|53.720|53.194|256.92|BQCam|EXO0331+530|53.7495|53.1732|342.40|340.19|344.63|0.00|3.86|3.84|3.88|186.70|0.0000|NULL|1|13|HMXB/NS
187|SWIFTJ0335.4+1907|53.815|19.131|4.82|2MASXJ03352254+1907282||53.8438|19.1244|13.56|8.54|19.30|0.00|1.73|1.20|2.32|0.20|0.1890|45.14|0|8|Sy1
188|SWIFTJ0336.6+3217|54.134|32.299|13.93|4C+32.14||54.1255|32.3082|43.76|38.43|49.31|0.00|1.60|1.43|1.76|0.70|1.2580|47.61|0|8|QSO
189|SWIFTJ0342.0-2115|55.513|-21.227|21.68|ESO548-G081||55.5155|-21.2444|44.46|40.43|48.64|0.00|1.93|1.81|2.05|0.80|0.0145|43.32|0|4|Sy1
190|SWIFTJ0345.2-3935|56.293|-39.596|6.82|LCRSB034324.7-394349||56.3022|-39.5748|10.36|7.51|13.62|0.00|2.39|1.98|2.90|0.80|0.0431|43.65|0|4|Sy1
191|SWIFTJ0347.0-3027|56.793|-30.448|5.75|HE0345-3033|1RXSJ034704.9-302409|56.7729|-30.3972|9.16|5.98|12.90|0.00|2.24|1.73|2.91|0.60|0.0950|44.32|0|4|Sy1
192|SWIFTJ0349.2-1159|57.370|-11.989|8.91|QSOB0347-121|1ES0347-12.1|57.3467|-11.9908|16.56|12.86|20.65|0.00|2.17|1.85|2.53|0.60|0.1800|45.18|0|7|BLLac
193|SWIFTJ0350.1-5019|57.585|-50.302|9.67|2MASXJ03502377-5018354||57.5990|-50.3099|20.89|17.03|24.98|0.00|1.63|1.39|1.88|0.50|0.0365|43.81|0|5|Sy2
194|SWIFTJ0351.7-4030|57.931|-40.498|7.22|Fairall1116||57.9237|-40.4665|12.06|8.96|15.55|0.00|2.12|1.77|2.52|0.70|0.0586|44.00|0|4|Sy1
195|SWIFTJ0353.4-6830|58.261|-68.530|10.26|PKS0352-686||58.2396|-68.5214|15.47|12.44|18.80|0.00|2.34|2.05|2.67|0.60|0.0870|44.46|0|7|BLLac
196|SWIFTJ0353.7+3711|58.450|37.201|6.50|2MASXJ03534246+3714077||58.4270|37.2350|15.33|10.71|20.56|0.00|2.14|1.68|2.69|0.90|0.0183|43.06|0|5|Sy2
197|SWIFTJ0354.2+0250|58.501|2.826|6.33|2MASXJ03540948+0249307||58.5395|2.8252|12.85|9.05|17.17|0.00|2.25|1.83|2.76|0.70|0.0360|43.59|0|4|Sy1
198|SWIFTJ0355.5+3101|58.837|31.038|286.23|XPer|4U0352+309|58.8462|31.0458|675.46|670.84|680.09|0.00|2.15|2.14|2.16|238.00|0.0000|NULL|0|13|HMXB/NS
199|SWIFTJ0357.5-6255|59.086|-62.890|7.33|2MASXJ03561995-6251391||59.0830|-62.8610|12.50|9.31|16.03|0.00|2.08|1.73|2.47|1.40|0.1076|44.57|0|5|Sy1.9
200|SWIFTJ0356.9-4041|59.203|-40.704|8.91|2MASXJ03565655-4041453||59.2356|-40.6960|19.57|15.58|23.88|0.00|1.65|1.37|1.93|2.20|0.0747|44.43|0|5|Sy1.9
201|SWIFTJ0357.6+4153|59.397|41.914|6.30|2MASXJ03574513+4155049||59.4380|41.9181|13.53|9.49|18.17|0.00|2.26|1.81|2.79|0.70|-1.0000|NULL|0|2|Galaxy
202|SWIFTJ0359.0-3015A|59.807|-30.229|7.96|SARS059.33488-30.34397||59.8354|-30.2027|8.42|0.00|0.00|0.34|2.59|0.00|0.00|1.10|0.0973|44.30|0|4|Sy1LINER
203|SWIFTJ0359.0-3015B|59.807|-30.229|7.96|SARS059.28692-30.44439||59.7868|-30.3029|10.98|0.00|0.00|1.53|1.09|0.00|0.00|1.30|0.0939|44.39|0|5|Sy1.9
204|SWIFTJ0359.7+5058|59.931|50.965|6.55|4C+50.11||59.8739|50.9639|19.98|14.90|25.44|0.00|1.51|1.16|1.86|0.30|1.5200|47.47|0|8|QSO/LP
205|SWIFTJ0402.4-1807|60.609|-18.087|9.77|ESO549-G049||60.6070|-18.0480|25.16|20.59|30.00|0.00|1.60|1.36|1.85|0.30|0.0263|43.60|0|5|Sy2Liner
206|SWIFTJ0404.0-3604|60.991|-36.065|6.44|PKS0402-362||60.9740|-36.0839|11.38|7.94|15.25|0.00|1.98|1.56|2.47|0.30|1.4170|47.15|0|8|LPQ/FSRQ
207|SWIFTJ0405.3-3707|61.334|-37.117|5.46|ESO359-G019||61.2570|-37.1875|10.80|6.74|15.53|0.00|1.65|1.07|2.27|1.80|0.0552|43.89|0|4|Sy1
208|SWIFTJ0405.5-1307|61.373|-13.121|5.37|[HB89]0403-132||61.3917|-13.1371|9.90|6.12|14.39|0.00|2.24|1.67|3.03|0.60|0.5706|46.12|0|8|QSO/HP
209|SWIFTJ0407.4+0339|61.824|3.742|11.92|3C105||61.8186|3.7072|27.65|23.01|32.61|0.00|1.99|1.76|2.24|0.20|0.0890|44.74|0|5|Sy2
210|SWIFTJ0413.3+1659|63.333|16.988|5.91|MG1J041325+1659||63.3419|16.9974|16.63|11.55|22.27|0.00|1.91|1.48|2.41|0.80|-1.0000|NULL|0|0|SRC/RADIO
211|SWIFTJ0413.5+1027|63.380|10.448|5.03|ABELL478||63.3362|10.4764|6.62|4.73|8.53|0.00|6.20|4.60|9.80|1.50|0.0881|44.11|4|3|GalaxyCluster
212|SWIFTJ0413.8+1112|63.446|11.207|5.09|3C109||63.4182|11.2038|13.73|8.71|19.53|0.00|1.94|1.40|2.59|0.40|0.3056|45.62|0|8|Sy1.8/NGALAXY
213|SWIFTJ0414.8-0754|63.710|-7.928|12.20|IRAS04124-0803||63.7195|-7.9278|21.00|17.63|24.65|0.00|2.51|2.26|2.79|1.60|0.0379|43.85|0|4|Sy1
214|SWIFTJ0418.3+3800|64.619|38.017|40.74|3C111.0||64.5887|38.0266|116.80|111.84|121.83|0.00|1.98|1.92|2.04|0.70|0.0485|44.81|0|4|Sy1
215|SWIFTJ0419.9+5600|64.950|55.996|5.52|XTEJ0421+560||64.9255|55.9994|8.90|6.17|12.16|0.00|2.91|2.36|3.67|0.60|0.0000|NULL|0|13|HMXB
216|SWIFTJ0420.0-5457|64.973|-54.946|11.35|NGC1566||65.0017|-54.9378|21.38|17.72|25.25|0.00|1.86|1.64|2.11|1.70|0.0050|42.08|0|4|Sy1
217|SWIFTJ0422.7-5611|65.622|-56.202|10.35|ESO157-G023||65.6007|-56.2260|21.20|17.47|25.14|0.00|1.71|1.49|1.94|1.20|0.0435|43.97|0|5|Sy2
218|SWIFTJ0423.5+0414|65.891|4.141|10.56|2MASXJ04234080+0408017||65.9199|4.1338|23.88|19.50|28.58|0.00|2.04|1.80|2.30|1.50|0.0450|44.06|0|5|Sy2
219|SWIFTJ0426.1-1945|66.493|-19.730|5.27|IWEri||66.4802|-19.7584|6.69|4.40|9.60|0.00|3.22|2.49|4.39|1.10|0.0000|NULL|0|9|CV/AMHER
220|SWIFTJ0426.2-5711|66.510|-57.219|17.24|1H0419-577||66.5035|-57.2001|24.84|21.95|27.90|0.00|2.47|2.30|2.67|1.10|0.1040|44.84|0|5|Sy1.5
221|SWIFTJ0427.6-1201|66.810|-11.991|4.95|SWIFTJ0427.6-1201||66.8745|-12.0064|12.79|8.26|17.91|0.00|1.61|1.11|2.13|1.00|-1.0000|NULL|6|0|transient?
222|SWIFTJ0428.2-6704A|67.068|-67.091|4.84|SWIFTJ042749.42-670436.1||66.9559|-67.0767|14.81|0.00|0.00|0.28|0.95|0.00|0.00|0.40|-1.0000|NULL|0|0|doublesource
223|SWIFTJ0428.2-6704B|67.068|-67.091|4.84|2MASXJ04294735-6703205||67.4538|-67.0539|3.21|0.00|0.00|0.58|3.18|0.00|0.00|0.50|-1.0000|NULL|0|2|Galaxy
224|SWIFTJ0429.6-2114|67.464|-21.189|5.31|2MASXJ04293830-2109441||67.4095|-21.1622|12.07|7.81|16.86|0.00|1.67|1.18|2.23|0.90|0.0703|44.16|0|6|AGN
225|SWIFTJ0431.3-6127|67.821|-61.435|12.01|ABELL3266||67.7997|-61.4063|12.29|10.53|14.28|0.00|3.94|3.49|4.52|0.60|0.0589|44.01|4|3|GalaxyCluster
226|SWIFTJ0433.0+0521|68.292|5.339|36.14|3C120||68.2962|5.3543|94.36|89.44|99.38|0.00|1.95|1.88|2.02|1.90|0.0330|44.38|0|4|Sy1
227|SWIFTJ0433.5-5846|68.351|-58.732|4.89|2MASXJ04332716-5843346||68.3638|-58.7263|11.01|7.18|15.30|0.00|1.64|1.16|2.16|0.60|0.1023|44.47|0|2|XBONG
228|SWIFTJ0436.3-1022|69.069|-10.362|8.93|Mrk618||69.0930|-10.3760|17.75|13.81|22.05|0.00|2.05|1.75|2.38|1.50|0.0355|43.72|4|4|Sy1
229|SWIFTJ0437.4-4713|69.338|-47.209|7.01|2MASXJ04372814-4711298||69.3673|-47.1915|13.64|9.94|17.76|0.00|1.83|1.44|2.25|1.50|0.0530|43.96|0|4|Sy1
230|SWIFTJ0438.2-1048|69.553|-10.793|8.74|MCG-02-12-050||69.5591|-10.7959|18.97|14.89|23.40|0.00|1.94|1.66|2.25|0.90|0.0364|43.76|0|4|Sy1.2
231|SWIFTJ0440.2-5941|70.069|-59.691|7.52|ESO118-IG033NED01||69.9960|-59.6817|12.47|9.11|16.26|0.00|2.08|1.70|2.52|1.10|0.0577|44.00|0|5|Sy2/GalaxyPair
232|SWIFTJ0440.9+2741|70.171|27.650|7.37|2MASXJ04404770+2739466||70.1989|27.6631|21.36|16.46|26.70|0.00|1.94|1.62|2.28|1.00|0.0000|NULL|0|2|Galaxy
233|SWIFTJ0440.8+4432|70.210|44.536|32.96|RXJ0440.9+4431||70.2472|44.5304|74.79|70.40|79.29|0.00|2.32|2.23|2.41|0.30|0.0000|NULL|0|13|XRB/Be
234|SWIFTJ0441.2-2704|70.312|-27.070|6.18|IRAS04392-2713||70.3441|-27.1389|9.93|6.73|13.66|0.00|2.28|1.80|2.86|0.50|0.0835|44.23|0|4|Sy1.5
235|SWIFTJ0441.8-0823|70.485|-8.416|5.05|1RXSJ044154.5-082639||70.4746|-8.4428|10.21|6.51|14.58|0.00|2.21|1.68|2.88|0.30|0.0440|43.67|0|4|Sy1
236|SWIFTJ0443.9+2856|70.940|28.965|13.93|UGC03142||70.9450|28.9718|45.54|40.11|51.20|0.00|1.75|1.59|1.92|0.70|0.0217|43.69|0|4|Sy1
237|SWIFTJ0444.1+2813|71.000|28.234|16.02|2MASXJ04440903+2813003||71.0376|28.2168|52.95|47.39|58.70|0.00|1.74|1.60|1.89|0.50|0.0113|43.18|0|5|Sy2
238|SWIFTJ0445.0-2816|71.122|-28.166|8.68|PKS0442-28||71.1571|-28.1651|18.41|14.48|22.64|0.00|1.80|1.52|2.10|1.00|0.1470|45.03|0|8|Sy2NLRG
239|SWIFTJ0446.4+1828|71.593|18.440|5.36|UGC3157||71.6240|18.4609|14.32|9.70|19.53|0.00|2.01|1.58|2.50|2.10|0.0154|42.88|0|5|Sy2
240|SWIFTJ0449.6-5515|72.446|-55.248|4.88|2MASXJ04500193-5512404||72.5082|-55.2112|8.56|5.03|12.66|0.00|1.75|1.17|2.42|0.20|-1.0000|NULL|0|2|Galaxy
241|SWIFTJ0451.5-6949|72.734|-69.809|24.15|SWIFTJ045106.8-694803||72.7785|-69.8008|36.52|33.60|39.55|0.00|2.42|2.30|2.54|6.60|0.0000|NULL|0|0|NewLMCsource
242|SWIFTJ0451.4-0346|72.881|-3.844|11.36|MCG-01-13-025||72.9229|-3.8094|31.11|26.05|36.45|0.00|1.73|1.52|1.95|0.60|0.0159|43.25|4|4|Sy1.2
243|SWIFTJ0450.7-5813|72.967|-58.180|10.74|RBS594||72.9335|-58.1835|21.22|17.47|25.22|0.00|1.85|1.61|2.10|0.20|0.0907|44.64|0|4|Sy1.5
244|SWIFTJ0452.2+4933|73.016|49.569|23.69|1RXSJ045205.0+493248||73.0208|49.5459|63.16|58.27|68.17|0.00|1.92|1.81|2.03|1.10|0.0290|44.09|0|4|Sy1
245|SWIFTJ0453.4+0404|73.354|4.073|10.19|CGCG420-015||73.3573|4.0616|28.14|23.25|33.35|0.00|1.90|1.67|2.14|1.50|0.0294|43.75|0|5|Sy2
246|SWIFTJ0454.6-4315|73.658|-43.253|5.55|2MASXJ04544295-4314231||73.6788|-43.2397|10.95|7.55|14.78|0.00|1.83|1.43|2.28|1.60|0.0877|44.32|0|2|XBONG
247|SWIFTJ0456.3-7532|74.032|-75.520|11.92|ESO033-G002||73.9957|-75.5412|21.26|17.73|25.03|0.00|1.98|1.76|2.22|1.40|0.0181|43.20|4|5|Sy2
248|SWIFTJ0457.1+4528|74.281|45.470|10.80|1RXSJ045707.4+452751||74.2846|45.4639|23.07|19.01|27.49|0.00|2.49|2.21|2.82|0.40|-1.0000|NULL|0|0|SRC/X-RAY
249|SWIFTJ0459.9+2703|74.981|27.070|8.53|4C+27.14||74.9837|27.1007|24.83|19.89|30.11|0.00|1.99|1.72|2.28|1.60|-1.0000|NULL|0|0|Galaxy?/radiosrc
250|SWIFTJ0459.7+3502|74.981|35.069|5.85|2MASXJ04595677+3502536||74.9869|35.0483|15.74|11.06|20.98|0.00|1.94|1.54|2.40|0.80|-1.0000|NULL|0|2|Galaxy
251|SWIFTJ0501.2-7041|75.298|-70.687|13.60|IGRJ05007-7047||75.1919|-70.7433|19.65|16.88|22.62|0.00|2.56|2.33|2.81|0.90|0.0000|NULL|0|13|HMXB
252|SWIFTJ0502.1+0332|75.579|3.534|6.01|2MASXJ05020903+0331499||75.5377|3.5306|15.31|10.59|20.66|0.00|1.95|1.51|2.44|0.70|0.0160|42.94|0|4|Sy1
253|SWIFTJ0502.4+2446|75.594|24.761|11.25|V1062Tau||75.6145|24.7564|25.27|21.23|29.63|0.00|2.62|2.36|2.93|1.10|0.0000|NULL|0|12|Nova
254|SWIFTJ0503.0+2302|75.728|23.009|7.23|LEDA097068||75.7426|22.9977|19.81|15.06|24.99|0.00|2.14|1.80|2.52|0.70|0.0577|44.20|0|4|Sy1
255|SWIFTJ0503.7-2819|75.940|-28.342|5.00|1WGAJ0503.8-2823||75.8927|-28.2815|8.23|4.44|12.79|0.00|2.18|1.49|3.31|1.00|-1.0000|NULL|0|0|SRC/X-RAY
256|SWIFTJ0504.6-7345|76.179|-73.803|4.97|2MASXJ05043414-7349269|IGRJ05053-7343|76.1425|-73.8242|8.46|4.71|13.13|0.00|1.98|1.26|2.90|1.00|0.0452|43.61|0|5|Sy1.9
257|SWIFTJ0505.6-6735|76.396|-67.581|6.95|2MASXJ05052442-6734358||76.3517|-67.5766|11.81|8.62|15.40|0.00|2.14|1.75|2.58|1.70|-1.0000|NULL|0|2|Galaxy
258|SWIFTJ0505.8-2351|76.440|-23.855|25.64|2MASXJ05054575-2351139||76.4405|-23.8539|60.85|56.38|65.43|0.00|1.72|1.63|1.82|0.90|0.0350|44.24|0|5|Sy2HII
259|SWIFTJ0507.7+6732|76.921|67.527|6.11|87GB050246.4+673341|1ES0502+675|76.9844|67.6234|10.04|6.89|13.66|0.00|2.42|1.96|3.02|0.80|0.3140|45.51|0|8|QSO
260|SWIFTJ0508.1+1727|77.090|17.412|9.48|CGCG468-002NED01||77.0820|17.3630|26.03|21.13|31.30|0.00|2.06|1.80|2.35|2.00|0.0175|43.25|0|5|Sy2
261|SWIFTJ0510.7+1629|77.684|16.507|32.14|IRAS05078+1626|4U0517+17|77.6896|16.4989|90.61|85.44|95.88|0.00|2.04|1.96|2.12|0.90|0.0179|43.82|0|4|Sy1.5
262|SWIFTJ0512.1-1830|77.996|-18.530|5.97|ESO553-G022||77.9908|-18.4939|13.72|9.26|18.72|0.00|1.82|1.37|2.36|0.70|0.0421|43.75|0|5|Sy2
263|SWIFTJ0513.8+6627|78.400|66.495|5.55|CGCG307-007||78.3183|66.4639|11.75|8.04|15.99|0.00|2.10|1.66|2.63|0.60|0.0149|42.77|0|2|Galaxy
264|SWIFTJ0514.2-4002|78.520|-40.041|40.25|CXOJ051406.4-400238|4U0513-40inNGC1851|78.5269|-40.0439|45.86|43.71|48.09|0.00|3.48|3.36|3.61|1.70|0.0000|NULL|0|14|LMXB/NSinglobularc
265|SWIFTJ0515.3+1854|78.823|18.908|8.55|2MASXJ05151978+1854515||78.8324|18.9143|29.84|24.18|35.84|0.00|1.70|1.44|1.97|1.90|-1.0000|NULL|0|2|Galaxy
266|SWIFTJ0516.2-0009|79.049|-0.138|29.52|Ark120||79.0476|-0.1498|69.95|65.22|74.80|0.00|2.06|1.97|2.16|1.90|0.0323|44.23|0|4|Sy1
267|SWIFTJ0516.3+1928|79.078|19.470|7.68|2MFGC04298||79.0947|19.4531|21.57|16.58|27.05|0.00|2.11|1.77|2.50|0.50|0.0212|43.34|0|2|Galaxy
