,RA,DEC,CL2,TYPE,,
138,40.1,61.2,13,HMXB,,40.1|61.2
139,40.3,-8.3,5,Sy2,,40.3|-8.3
140,40.4,7.2,4,Sy1.5,,40.4|7.2
141,40.5,5.2,5,Sy2,,40.5|5.2
142,40.6,5.5,4,Sy1,,40.6|5.5
143,40.7,0,5,Sy2,,40.7|0
144,41,53.5,2,Galaxy,,41|53.5
145,41.2,-24.5,6,LINER,,41.2|-24.5
146,41.2,62.5,4,Sy1,,41.2|62.5
147,41.3,10.8,7,BLLac,,41.3|10.8
148,42.2,26.5,5,Sy2,,42.2|26.5
149,42.6,46.8,2,Galaxy,,42.6|46.8
150,42.7,54.7,5,Sy2,,42.7|54.7
151,42.7,41.7,5,Sy2,,42.7|41.7
152,42.9,-16.7,5,Sy2,,42.9|-16.7
153,42.9,-68.1,2,Galaxy,,42.9|-68.1
154,43.1,43.2,2,QSO/LPQ,,43.1|43.2
155,43.1,-8.5,5,"Sy2,hidden",,43.1|-8.5
156,43.8,-0.2,5,Sy2,,43.8|-0.2
157,44,19.4,9,CV/DQHer,,44|19.4
158,44.1,-32.2,5,Sy2,,44.1|-32.2
159,44.7,13.6,3,GalaxyCluster,,44.7|13.6
160,44.9,44.3,2,Galaxy,,44.9|44.3
161,45,-10.8,4,Sy1,,45|-10.8
162,46,-1.1,4,Sy1,,46|-1.1
163,46.9,-72.8,4,Sy1.2,,46.9|-72.8
164,47,-23,5,Sy2,,47|-23
165,47.7,32.7,6,Sy,,47.7|32.7
166,47.8,-20.8,4,Sy1.5,,47.8|-20.8
167,48,-76.9,8,Sy1.2/FSRQ,,48|-76.9
168,48,50.5,2,Galaxy,,48|50.5
169,48.3,41.3,4,Sy1,,48.3|41.3
170,49.3,1.3,5,Sy2LINER,,49.3|1.3
171,49.6,68.5,5,Sy1.9,,49.6|68.5
172,50,41.5,5,Sy2/PerseusCluster,,50|41.5
173,51.2,34.2,4,Sy1,,51.2|34.2
174,51.3,-41.9,4,Sy1,,51.3|-41.9
175,51.3,40.7,6,doubleAGN,,51.3|40.7
176,51.4,-9.1,0,transient?,,51.4|-9.1
177,51.3,-56.6,2,XBONG,,51.3|-56.6
178,52.2,-28.7,5,Sy1.9,,52.2|-28.7
179,52.7,5.6,4,Sy1,,52.7|5.6
180,52.8,43.9,9,CV/DQHer,,52.8|43.9
181,52.8,-5.1,5,Sy2,,52.8|-5.1
182,53.3,37.3,4,Sy1.5,,53.3|37.3
183,53.4,-36.1,5,Sy1.8,,53.4|-36.1
184,53.6,-15.2,4,Sy1.5,,53.6|-15.2
185,53.7,53.2,13,HMXB/NS,,53.7|53.2
186,53.8,19.1,8,Sy1,,53.8|19.1
187,54.1,32.3,8,QSO,,54.1|32.3
188,55.5,-21.2,4,Sy1,,55.5|-21.2
189,56.3,-39.6,4,Sy1,,56.3|-39.6
190,56.8,-30.4,4,Sy1,,56.8|-30.4
191,57.3,-12,7,BLLac,,57.3|-12
192,57.6,-50.3,5,Sy2,,57.6|-50.3
193,57.9,-40.5,4,Sy1,,57.9|-40.5
194,58.2,-68.5,7,BLLac,,58.2|-68.5
195,58.4,37.2,5,Sy2,,58.4|37.2
196,58.5,2.8,4,Sy1,,58.5|2.8
197,58.8,31,13,HMXB/NS,,58.8|31
198,59.1,-62.9,5,Sy1.9,,59.1|-62.9
199,59.2,-40.7,5,Sy1.9,,59.2|-40.7
200,59.4,41.9,2,Galaxy,,59.4|41.9
201,59.8,-30.2,4,Sy1LINER,,59.8|-30.2
202,59.8,-30.3,5,Sy1.9,,59.8|-30.3
203,59.9,51,8,QSO/LP,,59.9|51
204,60.6,-18,5,Sy2Liner,,60.6|-18
205,61,-36.1,8,LPQ/FSRQ,,61|-36.1
206,61.3,-37.2,4,Sy1,,61.3|-37.2
207,61.4,-13.1,8,QSO/HP,,61.4|-13.1
208,61.8,3.7,5,Sy2,,61.8|3.7
209,63.3,17,0,SRC/RADIO,,63.3|17
210,63.3,10.5,3,GalaxyCluster,,63.3|10.5
211,63.4,11.2,8,Sy1.8/NGALAXY,,63.4|11.2
212,63.7,-7.9,4,Sy1,,63.7|-7.9
213,64.6,38,4,Sy1,,64.6|38
214,64.9,56,13,HMXB,,64.9|56
215,65,-54.9,4,Sy1,,65|-54.9
216,65.6,-56.2,5,Sy2,,65.6|-56.2
217,65.9,4.1,5,Sy2,,65.9|4.1
218,66.5,-19.8,9,CV/AMHER,,66.5|-19.8
219,66.5,-57.2,5,Sy1.5,,66.5|-57.2
220,66.9,-12,0,transient?,,66.9|-12
221,67,-67.1,0,doublesource,,67|-67.1
222,67.5,-67.1,2,Galaxy,,67.5|-67.1
223,67.4,-21.2,6,AGN,,67.4|-21.2
224,67.8,-61.4,3,GalaxyCluster,,67.8|-61.4
225,68.3,5.4,4,Sy1,,68.3|5.4
226,68.4,-58.7,2,XBONG,,68.4|-58.7
227,69.1,-10.4,4,Sy1,,69.1|-10.4
228,69.4,-47.2,4,Sy1,,69.4|-47.2
229,69.6,-10.8,4,Sy1.2,,69.6|-10.8
230,70,-59.7,5,Sy2/GalaxyPair,,70|-59.7
231,70.2,27.7,2,Galaxy,,70.2|27.7
232,70.2,44.5,13,XRB/Be,,70.2|44.5
233,70.3,-27.1,4,Sy1.5,,70.3|-27.1
234,70.5,-8.4,4,Sy1,,70.5|-8.4
235,70.9,29,4,Sy1,,70.9|29
236,71,28.2,5,Sy2,,71|28.2
237,71.2,-28.2,8,Sy2NLRG,,71.2|-28.2
238,71.6,18.5,5,Sy2,,71.6|18.5
239,72.5,-55.2,2,Galaxy,,72.5|-55.2
240,72.8,-69.8,0,NewLMCsource,,72.8|-69.8
241,72.9,-3.8,4,Sy1.2,,72.9|-3.8
242,72.9,-58.2,4,Sy1.5,,72.9|-58.2
243,73,49.5,4,Sy1,,73|49.5
244,73.4,4.1,5,Sy2,,73.4|4.1
245,73.7,-43.2,2,XBONG,,73.7|-43.2
246,74,-75.5,5,Sy2,,74|-75.5
247,74.3,45.5,0,SRC/X-RAY,,74.3|45.5
248,75,27.1,0,Galaxy?/radiosrc,,75|27.1
249,75,35,2,Galaxy,,75|35
250,75.2,-70.7,13,HMXB,,75.2|-70.7
251,75.5,3.5,4,Sy1,,75.5|3.5
252,75.6,24.8,12,Nova,,75.6|24.8
253,75.7,23,4,Sy1,,75.7|23
254,75.9,-28.3,0,SRC/X-RAY,,75.9|-28.3
255,76.1,-73.8,5,Sy1.9,,76.1|-73.8
256,76.4,-67.6,2,Galaxy,,76.4|-67.6
257,76.4,-23.9,5,Sy2HII,,76.4|-23.9
258,77,67.6,8,QSO,,77|67.6
259,77.1,17.4,5,Sy2,,77.1|17.4
260,77.7,16.5,4,Sy1.5,,77.7|16.5
261,78,-18.5,5,Sy2,,78|-18.5
262,78.3,66.5,2,Galaxy,,78.3|66.5
263,78.5,-40,14,LMXB/NSinglobularc,,78.5|-40
264,78.8,18.9,2,Galaxy,,78.8|18.9
265,79,-0.1,4,Sy1,,79|-0.1
266,79.1,19.5,2,Galaxy,,79.1|19.5
267,79.1,-10.6,4,Sy1,,79.1|-10.6
268,79.9,-32.7,4,Sy1.5,,79.9|-32.7
269,80,-45.8,4,Sy1/LINER,,80|-45.8
270,80.1,-72,14,LMXB,,80.1|-72
271,80.3,-25.4,5,Sy2,,80.3|-25.4
272,80.7,-36.5,7,BLLac,,80.7|-36.5
273,81,-12.2,4,Sy1,,81|-12.2
274,81.1,42.7,9,CV,,81.1|42.7
275,81.3,-23.6,8,QSO/FSRQ,,81.3|-23.6
276,81.4,-46,8,QSO,,81.4|-46
277,81.3,24.2,9,CV,,81.3|24.2
278,81.6,-21.3,5,Sy2,,81.6|-21.3
279,82,-39.6,2,GPAIR/INTERACTING,,82|-39.6
280,82.4,-32.8,9,CV/DQHer,,82.4|-32.8
281,82.7,13.5,8,BLAZAR/FSRQ,,82.7|13.5
282,83.2,-66.4,13,HMXB/NS,,83.2|-66.4
283,82.8,-66.1,13,HMXB/NS,,82.8|-66.1
284,83.2,13.8,2,GALAXY,,83.2|13.8
285,83.5,-13.4,2,Galaxy,,83.5|-13.4
286,83.6,22,10,PSR/PWN,,83.6|22
287,83.7,-58,9,CVDQHer,,83.7|-58
288,83.7,28.5,1,onplane,,83.7|28.5
289,83.8,-5.4,0,StarCluster,,83.8|-5.4
290,83.9,40.2,2,Galaxy,,83.9|40.2
291,84.4,21.1,0,brighttransient,,84.4|21.1
292,84.7,-64.1,13,HMXB/NS,,84.7|-64.1
293,84.7,26.3,13,HMXB/NS,,84.7|26.3
294,84.9,-69.7,13,HMXB/NS,,84.9|-69.7
295,85,-28.7,7,Blazar,,85|-28.7
296,85,-69.3,10,Pulsar,,85|-69.3
297,85.4,-68.4,13,HMXB,,85.4|-68.4
298,85.7,60.9,9,CV/AMHer,,85.7|60.9
299,85.8,-41,9,CV/DQHer,,85.8|-41
300,85.9,-27.7,4,Sy1.2,,85.9|-27.7
301,86,-43.4,2,galaxy,,86|-43.4
302,86.1,59.1,5,Sy1.9,,86.1|59.1
303,86.8,50.6,2,Galaxy,,86.8|50.6
304,87.1,-47.8,2,Galaxytriple,,87.1|-47.8
305,87.7,-32.3,7,BLLac,,87.7|-32.3
306,87.7,-32.3,0,,,87.7|-32.3
307,88,-7.5,5,Sy2,,88|-7.5
308,88.1,59.5,4,Sy1,,88.1|59.5
309,88.7,46.4,4,Sy1.5,,88.7|46.4
310,88.9,39.8,8,QSO/LPQ,,88.9|39.8
311,89.5,53.9,9,CV/DQHer,,89.5|53.9
312,89.5,-38.3,4,Sy1,,89.5|-38.3
313,89.9,-50.4,8,Sy1NL,,89.9|-50.4
314,90.2,0.1,8,QSO,,90.2|0.1
315,90.5,28.5,4,Sy1,,90.5|28.5
316,90.7,65.4,2,Galaxy,,90.7|65.4
317,91.5,-27.9,4,Sy1.5,,91.5|-27.9
318,91.4,-86.6,5,Sy2,,91.4|-86.6
319,92.5,-62.7,2,Galaxy/XMMSL,,92.5|-62.7
320,92.2,-62.8,2,Galaxy,,92.2|-62.8
321,92.9,-81.8,12,Nova-like,,92.9|-81.8
322,93.1,-46.8,0,SRC/RADIO,,93.1|-46.8
323,93.6,17.1,0,SRC/X-RAY,,93.6|17.1
324,93.9,71,5,Sy2,,93.9|71
325,94.3,9.1,14,LMXB/NS,,94.3|9.1
326,95.8,-64.6,4,Sy1,,95.8|-64.6
327,95.9,64.8,4,Sy1,,95.9|64.8
328,95.9,-61,5,Sy2,,95.9|-61
329,95.9,-32.2,5,Sy2,,95.9|-32.2
330,96,-9.6,0,SRC/X-RAY,,96|-9.6
331,96.3,73.6,9,CV/DQHer,,96.3|73.6
332,96.6,7.5,2,Galaxy,,96.6|7.5
333,96.7,-37.1,4,Sy1.5,,96.7|-37.1
334,98.2,63.7,4,Sy1.2,,98.2|63.7
335,97.8,11.5,1,onplane,,97.8|11.5
336,97.6,63.7,5,Sy2,,97.6|63.7
337,98.5,-74.8,0,SRC/X-RAY,,98.5|-74.8
338,98.8,22.5,3,Galaxycluster,,98.8|22.5
339,98.9,-75.3,8,Sy1,,98.9|-75.3
340,99.1,35.6,9,CV,,99.1|35.6
341,100,-25.9,4,Sy1.2,,100|-25.9
342,100.1,-47.7,0,,,100.1|-47.7
343,100.2,-43.4,5,Sy2,,100.2|-43.4
344,100.3,32.8,5,Sy2,,100.3|32.8
345,101.6,53.1,5,Sy2,,101.6|53.1
346,103.1,74.4,4,Sy1.5,,103.1|74.4
347,103.6,7.1,0,,,103.6|7.1
348,104,40,4,Sy1.5,,104|40
349,104,-49.3,5,Sy2,,104|-49.3
350,104.6,-7.2,13,HMXB/pulsar,,104.6|-7.2
351,104.6,-56,3,GalaxyCluster,,104.6|-56
352,104.8,24,2,Galaxy,,104.8|24
353,105.3,-32.6,2,Galaxy,,105.3|-32.6
354,106,26.4,9,CV/DQHer,,106|26.4
355,106.7,3.4,0,SRC/X-ray,,106.7|3.4
356,106.8,64.6,4,Sy1.0,,106.8|64.6
357,107.2,-46.7,5,Sy2,,107.2|-46.7
358,107.3,-15.5,0,SRC/RADIO,,107.3|-15.5
