,RA,DEC,CL2,TYPE,,
1007,283.3,-8.7,14,LMXB/NS,,283.3|-8.7
1008,283.7,-78.9,4,Sy1,,283.7|-78.9
1009,283.8,-31.2,9,CV/DQHer,,283.8|-31.2
1010,283.9,5.3,0,,,283.9|5.3
1011,283.9,-2.6,13,HMXB/NS,,283.9|-2.6
1012,284,15.6,4,Sy1,,284|15.6
1013,284.2,5.3,13,HMXB/BHcandidate,,284.2|5.3
1014,284.2,-54.7,4,Sy1,,284.2|-54.7
1015,284.3,-78.5,4,Sy1,,284.3|-78.5
1016,284.7,3.4,13,HMXB/NS,,284.7|3.4
1017,285,-24.9,14,LMXB/msPSR,,285|-24.9
1018,285.4,1.4,15,XRB/NS,,285.4|1.4
1019,286,33.8,2,Galaxy,,286|33.8
1020,286.4,42.5,4,Sy1,,286.4|42.5
1021,286.8,-20.8,9,CV,,286.8|-20.8
1022,287.4,9.8,13,HMXB/NS,,287.4|9.8
1023,287.7,7.6,13,HMXB/NS,,287.7|7.6
1024,287.8,0.6,14,LMXB,,287.8|0.6
1025,288,5,15,uQuasar,,288|5
1026,288.3,-50.2,5,Sy2,,288.3|-50.2
1027,288.5,9.9,13,HMXB,,288.5|9.9
1028,288.8,10.9,14,LMXB/BH,,288.8|10.9
1029,289.7,-5.2,14,LMXB/NS,,289.7|-5.2
1030,289.9,-30,8,Sy1.9,,289.9|-30
1031,290.3,-58.7,4,Sy1,,290.3|-58.7
1032,290.2,44,3,GalaxyCluster,,290.2|44
1033,290.7,-17.3,15,XRB/uQuasar?,,290.7|-17.3
1034,291.1,50.2,12,Symb/WD,,291.1|50.2
1035,291.3,50.7,2,Galaxy,,291.3|50.7
1036,291.6,41.6,5,Sy2,,291.6|41.6
1037,292,74,7,BLLacLPQ,,292|74
1038,292.5,18.3,13,"HMXB,SFXT?",,292.5|18.3
1039,292.6,34.2,4,Sy1,,292.6|34.2
1040,293.4,32.9,4,Sy1.2QSO,,293.4|32.9
1041,294.4,-6.2,4,Sy1.5,,294.4|-6.2
1042,294.5,-51.2,4,Sy1.2,,294.5|-51.2
1043,295,-10.4,9,CV/AMHer,,295|-10.4
1044,295.1,-30.3,5,Sy2,,295.1|-30.3
1045,295.7,-10.3,4,Sy1.5,,295.7|-10.3
1046,296,21.3,0,SRC/X-ray,,296|21.3
1047,296.4,27.4,13,HMXB,,296.4|27.4
1048,296.8,44.8,5,Sy2,,296.8|44.8
1049,297.4,30.2,13,HMXB/NS,,297.4|30.2
1050,298.1,2.5,5,Sy2,,298.1|2.5
1051,298.2,32.9,11,SNR,,298.2|32.9
1052,298.9,32.1,14,LMXB,,298.9|32.1
1053,299.6,35.2,13,HMXB/BH,,299.6|35.2
1054,299.6,32.5,9,CV/DQHer,,299.6|32.5
1055,299.9,11.7,14,LMXB,,299.9|11.7
1056,299.9,40.7,8,Sy2,,299.9|40.7
1057,300,65.1,7,BLLac,,300|65.1
1058,300.1,32.2,13,HMXB,,300.1|32.2
1059,300.2,-18.2,4,Sy1merger,,300.2|-18.2
1060,301.6,36.7,0,Newsrc,,301.6|36.7
1061,301.6,56.3,5,Sy2,,301.6|56.3
1062,301.7,-34.5,4,Sy1GPAIR,,301.7|-34.5
1063,302.2,-61.1,4,Sy1,,302.2|-61.1
1064,302.4,-48.8,7,BLLac,,302.4|-48.8
1065,302.6,-25.4,0,SRC/X-RAY/RADIO,,302.6|-25.4
1066,302.6,48,5,Sy2,,302.6|48
1067,302.8,-15.8,8,QSO/FSRQ,,302.8|-15.8
1068,303.1,-56.8,3,GalaxyCluster,,303.1|-56.8
1069,303.7,25.4,6,AGN,,303.7|25.4
1070,303.9,37.2,7,Blazar,,303.9|37.2
1071,304.5,-55.7,6,NLRG,,304.5|-55.7
1072,304.7,40.7,5,Sy2,,304.7|40.7
1073,305.5,44,5,Sy2,,305.5|44
1074,306,-2.8,0,SRC/X-RAY,,306|-2.8
1075,306.7,-2.3,5,Sy2,,306.7|-2.3
1076,307.1,25.7,5,Sy2,,307.1|25.7
1077,307.4,-61.8,2,Galaxy,,307.4|-61.8
1078,307.7,-75.5,8,QSOSy1,,307.7|-75.5
1079,308.1,37.6,13,HMXB/NS,,308.1|37.6
1080,308.1,41,13,HMXB/NS,,308.1|41
1081,308.4,21.8,8,QSO,,308.4|21.8
1082,308.5,-9.7,0,SRC/X-RAY,,308.5|-9.7
1083,308.8,26.1,4,Sy1,,308.8|26.1
1084,309,-50.2,5,Sy2,,309|-50.2
1085,309.3,41.8,1,transient,,309.3|41.8
1086,310.1,-51.4,5,Sy2GALAXY/INTERACTIN,,310.1|-51.4
1087,310.7,75.1,8,Sy1,,310.7|75.1
1088,311,28.6,4,Sy1,,311|28.6
1089,311,-10.7,4,Sy1.2,,311|-10.7
1090,312.1,38.2,1,SRC/X-RAY,,312.1|38.2
1091,313,-57.1,5,Sy2,,313|-57.1
1092,314.1,-47.2,7,BlazarFSRQLPQ,,314.1|-47.2
1093,314.2,49.7,0,SRC/RADIO/X-RAY,,314.2|49.7
1094,314.8,43,1,SRC/X-RAY,,314.8|43
1095,315,43,1,,,315|43
1096,315.6,-28.2,0,,,315.6|-28.2
1097,315.9,45.8,13,HMXB,,315.9|45.8
1098,317.3,-9.7,4,Sy1.2LINER,,317.3|-9.7
1099,317.4,35.5,8,Quasar,,317.4|35.5
1100,318.4,54.4,9,CV,,318.4|54.4
1101,318.5,82.1,4,Sy1,,318.5|82.1
1102,318.9,-58.7,9,CV/AMHER,,318.9|-58.7
1103,319,25.3,4,Sy1,,319|25.3
1104,319.4,51.6,2,Galaxy,,319.4|51.6
1105,319.9,33.5,5,Sy1.8,,319.9|33.5
1106,320.9,42.3,9,CV,,320.9|42.3
1107,320.9,25.1,5,Sy2NLRG,,320.9|25.1
1108,321.1,5,0,Star?QSO?,,321.1|5
1109,321.2,51,8,BLRadioGalaxy,,321.2|51
1110,321.9,56.9,4,Sy1,,321.9|56.9
1111,322.3,-15.6,8,LPQGPSFSRQ,,322.3|-15.6
1112,322.5,12.2,14,LMXBinglobularclus,,322.5|12.2
1113,323,-33.7,4,Sy1,,323|-33.7
1114,323.4,51.1,9,CV/DQHer,,323.4|51.1
1115,323.7,-27.4,4,Sy1.5,,323.7|-27.4
1116,324,47.5,4,Sy1,,324|47.5
1117,324.1,-62.4,4,Sy1,,324.1|-62.4
1118,324.2,-64.6,4,Sy1,,324.2|-64.6
1119,324.4,-14.5,8,Sy1.5,,324.4|-14.5
1120,324.6,32.1,4,Sy1.5,,324.6|32.1
1121,324.9,59.8,4,Sy1.5,,324.9|59.8
1122,325.7,43.6,9,CV/DwarfN,,325.7|43.6
1123,326.2,38.3,14,LMXB/NS,,326.2|38.3
1124,326.4,11,8,Sy1,,326.4|11
1125,327,7,7,Blazar,,327|7
1126,327.1,-35,5,Sy2/LINER,,327.1|-35
1127,327.5,-19,4,Sy1,,327.5|-19
1128,328,-30.5,7,Blazar,,328|-30.5
1129,329.1,17.4,2,Galaxy,,329.1|17.4
1130,329.3,-69.7,5,Sy2/RADIOGALAXY,,329.3|-69.7
1131,329.4,-6.2,12,Star,,329.4|-6.2
1132,330.2,10.6,5,Sy1.9,,330.2|10.6
1133,330.4,50.8,8,QSO,,330.4|50.8
1134,330.5,-31.9,5,Sy2,,330.5|-31.9
1135,330.7,42.3,7,BLLac,,330.7|42.3
1136,330.8,31.8,8,LPQ,,330.8|31.8
1137,331.1,3.6,5,Sy2,,331.1|3.6
1138,331.8,10.2,4,Sy2/Sy1h/GTRPL,,331.8|10.2
1139,332,54.5,13,HMXB/NS,,332|54.5
1140,332.3,-27.8,4,Sy1.2,,332.3|-27.8
1141,332.3,-47.2,4,Sy1.5,,332.3|-47.2
1142,333,18.7,4,Sy1,,333|18.7
1143,333.5,12.7,9,CV/DWARFNOVA,,333.5|12.7
1144,333.5,-26,5,Sy1.8,,333.5|-26
1145,334.3,14.2,8,Sy1.0/RQQ,,334.3|14.2
1146,334.5,-8.4,9,CV/DQHer,,334.5|-8.4
1147,334.6,19.4,9,CV/AMHer,,334.6|19.4
1148,335,26.2,8,QSO,,335|26.2
1149,335.9,11.8,4,Sy1.5,,335.9|11.8
1150,336,-2.1,5,Sy2,,336|-2.1
1151,336.8,36.4,5,Sy2,,336.8|36.4
1152,337.3,66.8,4,Sy1,,337.3|66.8
1153,337.4,-8.5,8,HPQ/FSRQ,,337.4|-8.5
1154,338.2,11.7,7,BlazarHP,,338.2|11.7
1155,338.7,-25.7,5,Sy2,,338.7|-25.7
1156,338.9,-26.1,5,Sy1.9,,338.9|-26.1
1157,339,34,5,Sy2,,339|34
1158,339.2,63.5,0,X-rayTransient,,339.2|63.5
1159,339.1,25.8,2,Galaxy,,339.1|25.8
1160,339.2,-12.5,4,Sy1,,339.2|-12.5
1161,340.1,8.1,5,Sy1.8,,340.1|8.1
1162,340.6,-37.2,2,Galaxy,,340.6|-37.2
1163,340.6,-45.7,2,SRC/X-RAY,,340.6|-45.7
1164,341.5,39.7,5,Sy2,,341.5|39.7
1165,342.2,-51.2,4,Sy1.5,,342.2|-51.2
1166,342.2,17.5,2,galaxy,,342.2|17.5
1167,342.7,-8.9,4,Sy1.5,,342.7|-8.9
1168,343,22.3,8,QSO/FSRQ,,343|22.3
1169,342.9,-32.1,7,BLLac,,342.9|-32.1
1170,343.5,16.1,7,Blazar,,343.5|16.1
1171,343.5,-17.6,8,Sy1,,343.5|-17.6
1172,343.7,11.7,4,Sy1,,343.7|11.7
1173,343.6,11.8,5,Sy2,,343.6|11.8
1174,343.8,-3.2,9,CV/DQHer,,343.8|-3.2
1175,344.2,5.4,4,Sy1.5,,344.2|5.4
1176,344.7,40.9,5,Sy1.9,,344.7|40.9
1177,344.9,24.9,4,Sy1,,344.9|24.9
1178,345.4,-59.2,4,Sy1,,345.4|-59.2
1179,345.5,16,6,LINER,,345.5|16
1180,345.8,-18.7,4,Sy1,,345.8|-18.7
1181,345.8,8.9,4,Sy1.2,,345.8|8.9
1182,346.2,-8.7,4,Sy1.5,,346.2|-8.7
1183,346.2,12.3,5,Sy2/LINER,,346.2|12.3
1184,346.8,4.5,4,Sy1,,346.8|4.5
1185,347,22.7,0,,,347|22.7
1186,347,40.3,4,Sy1,,347|40.3
1187,349.6,-42.4,5,Sy2,,349.6|-42.4
1188,349.7,0.2,4,Sy1.5,,349.7|0.2
1189,349.9,26.3,9,CVAMHer,,349.9|26.3
1190,350.2,64.5,2,Galaxy,,350.2|64.5
1191,350.6,-6.8,5,Sy2,,350.6|-6.8
1192,350.8,58.8,11,SNR,,350.8|58.8
1193,351.4,-38.4,4,Sy1,,351.4|-38.4
1194,351.5,21.9,4,Sy1,,351.5|21.9
1195,351.8,15.4,4,Sy1,,351.8|15.4
1196,351.9,9.7,8,QuasarFS,,351.9|9.7
1197,352.2,3.5,5,Sy2,,352.2|3.5
1198,352.7,71.3,5,Sy2,,352.7|71.3
1199,353.5,-23.7,5,Sy2,,353.5|-23.7
1200,355.1,76.7,0,SRC/X-RAY,,355.1|76.7
1201,355.5,30.6,5,Sy2,,355.5|30.6
1202,356,5.6,2,Galaxy,,356|5.6
1203,356.2,-42.7,8,Sy2QSO,,356.2|-42.7
1204,356.8,51.7,7,BLLac,,356.8|51.7
1205,358,-1.2,8,Sy1N-Galaxy,,358|-1.2
1206,358.1,58.7,6,AGN,,358.1|58.7
1207,358.2,-17.1,2,galaxy,,358.2|-17.1
1208,359.8,-30.6,7,BLLac,,359.8|-30.6
1209,359.8,-60.9,5,Sy2/RADIOGALAXY,,359.8|-60.9
