,BAT ID,RA,DEC,z[OIII]_x,log_Lbol,Lbol Ref,log_Mbh,log_Mbh err (lower),log_Mbh err (upper),Mbh Ref,log_Eratio,Eratio Ref
543,1041,293.4465,32.9072222,0.05805685,45.03,BASS,7.88,0.3,0.3,TN12,-1.03,TN12
544,1042,294.388,-6.218,0.01035066,44.29,BASS,6.56,0.3,0.3,TN12,-0.44,TN12
545,1043,294.5183,-51.1638,0.039959009,44.13,BASS,7.23,0.3,0.3,TN12,-1.27,TN12
546,1045,295.0629,-30.2644,0.05246213,44.58,BASS,8.1,0.3,0.3,TN12,-1.7,TN12
547,1046,295.6694,-10.3235,0.005752487,43.49,BASS,6.87,0.3,0.3,TN12,-1.55,TN12
548,1049,296.8307,44.8284,0.052834916,45.1,Swift,9.01,0.43,0.43,stellar,,None
549,1051,298.066,2.507,0.058399917,45.35,Swift,9.15,0.3,0.3,stellar,,None
550,1057,299.8682,40.7339,0.055811385,45.91,Swift,9.43,0.15,0.1,V15;T03,,None
551,1060,300.2321,-18.1743,0.037191026,44.73,Swift,8.07,0.36,0.36,stellar,,None
552,1062,301.6389,56.3435,0.042284166,44.53,Swift,,,,None,,None
553,1063,301.741417,-34.548528,0.025146527,43.71,BASS,6.48,0.3,0.3,TN12,-0.94,TN12
554,1064,302.1954,-61.1002,0.014684865,44.31,Swift,6.78,0.1,0.1,GH05,-0.58,Swift
555,1067,302.5725,48.0059,0.025396878,44.19,Swift,9.48,0.35,0.35,stellar,,None
556,1068,302.8155,-15.7778,1.18,48.08,Swift,,,,None,,None
557,1070,303.747,25.3836,0.045215754,44.78,Swift,,,,None,,None
558,1072,304.505,-55.659,0.060697537,45.36,Swift,,,,None,,None
559,1074,305.4544,44.011,0.017475441,43.88,Swift,,,,None,,None
560,1077,307.1461,25.7333,0.013932822,44.43,Swift,,,,None,,None
561,1079,307.6736,-75.5452,0.113935604,45.51,Swift,,,,None,,None
562,1084,308.7735,26.0583,0.047771386,44.37,BASS,7.08,0.3,0.3,TN12,-0.89,TN12
563,1085,308.9912,-50.1923,0.008842703,43.2,Swift,,,,None,,None
564,1087,310.0656,-51.4297,0.054118813,44.79,Swift,8.11,0.46,0.46,stellar,,None
565,1088,310.6554,75.134,0.104631006,46.26,BASS,9.6,0.3,0.3,TN12,-1.51,TN12
566,1089,311.0188,28.5534,0.048862442,46.25,BASS,8.39,0.3,0.3,TN12,-0.32,TN12
567,1090,311.0406,-10.7235,0.034370068,45.12,BASS,8.07,0.3,0.3,TN12,-1.12,TN12
568,1092,313.0098,-57.0688,0.011492275,44.23,Swift,,,,None,,None
569,1099,317.2915,-9.6707,0.026747435,44.79,BASS,7.5,0.3,0.3,TN12,-0.88,TN12
570,1102,318.5049,82.0801,0.083252273,45.94,BASS,8.9,0.3,0.3,TN12,-1.13,TN12
571,1104,319.0428,25.2836,0.15341486,44.98,BASS,8.92,0.3,0.3,TN12,-2.12,TN12
572,1106,319.8714,33.5491,0.050886794,44.67,BASS,8.37,0.3,0.3,TN12,-1.87,TN12
573,1108,320.9357583,25.0742306,0.101798535,45.52,Swift,6.09,0.1,0.1,GH05,1.31,Swift
574,1110,321.1643,50.9735,0.015067053,45.68,BASS,7.63,0.3,0.3,TN12,-0.12,TN12
575,1112,322.3007,-15.6447,3.268,49.32,Swift,,,,None,,None
576,1114,323.0092,-33.715,0.030013016,44.85,Swift,,,,None,,None
577,1116,323.688,-27.4321,0.066692099,45.17,Swift,6.99,0.1,0.1,GH05,0.07,Swift
578,1117,323.975,47.4727,0.025292638,43.92,BASS,7.11,0.3,0.3,TN12,-1.36,TN12
579,1118,324.0963,-62.4002,0.05901068,44.85,BASS,8.01,0.3,0.3,TN12,-1.34,TN12
580,1120,324.4383,-14.5488,0.199903339,46.1,BASS,9.4,0.3,0.3,TN12,-1.48,TN12
581,1122,324.9373958,59.8375139,0.114193238,45.21,BASS,7.8,0.3,0.3,TN12,-0.77,TN12
582,1126,327.0227,6.9607,0.99,47.97,Swift,,,,None,,None
583,1127,327.0813,-34.9512,0.01588487,43.87,Swift,7.61,0.49,0.49,stellar,,None
584,1128,327.4919,-18.9899,0.157653817,45.73,Swift,,,,None,,None
585,1129,327.9814,-30.4649,2.345,49.45,Swift,,,,None,,None
586,1132,329.361833,-6.171222,0.176262855,46.35,BASS,8.96,0.3,0.3,TN12,-0.79,TN12
587,1133,330.172425,10.5522056,0.027531636,44.63,Swift,,,,None,,None
588,1135,330.508,-31.8698,0.008336412,44.27,Swift,8.45,0.33,0.33,stellar,,None
589,1136,330.6804,42.2778,0.0686,45.4,Swift,,,,None,,None
590,1137,330.812,31.761,0.294563919,45.32,BASS,8.26,0.3,0.3,TN12,-1.12,TN12
591,1141,332.282,-27.8095,0.02272397,44.21,Swift,,,,None,,None
592,1142,332.3177,-47.1667,0.005839,43.29,Swift,,,,None,,None
593,1143,332.9745,18.6972,0.069566987,44.63,BASS,7.9,0.3,0.3,TN12,-1.45,TN12
594,1145,333.5382,-25.9636,0.051858332,44.82,Swift,8.17,0.38,0.38,stellar,,None
595,1146,334.3011,14.2391,0.070382572,45.25,BASS,8.5,0.3,0.3,TN12,-1.42,TN12
596,1149,334.9573,26.2244,0.087723784,44.83,BASS,8.87,0.3,0.3,TN12,-2.22,TN12
597,1150,335.938,11.836,0.029550795,44.36,Swift,7.38,0.1,0.1,GH05,-1.13,Swift
598,1151,335.9566,-2.1034,0.060060747,44.68,BASS,7.99,0.3,0.3,TN12,-1.49,TN12
599,1153,337.3079167,66.7811111,0.111792601,44.78,BASS,8.08,0.3,0.3,TN12,-1.48,TN12
600,1154,337.417,-8.5485,1.55999,48.4,Swift,,,,None,,None
601,1155,338.1517,11.7308,1.037,48.05,Swift,,,,None,,None
602,1156,338.7076,-25.6769,0.026482655,44.24,Swift,7.84,0.34,0.34,stellar,,None
603,1157,338.9426,-26.0503,0.004602467,43.24,Swift,4.99,0.1,0.1,GH05,0.14,Swift
604,1158,339.0148,33.9757,0.022699031,44.54,Swift,,,,None,,None
605,1161,339.1938,-12.5452,0.023955559,44.51,Swift,7.71,0.1,0.1,GH05,-1.31,Swift
606,1162,340.071,8.0539,0.024941874,44.75,BASS,7.61,0.3,0.3,TN12,-1.04,TN12
607,1165,341.4532,39.6877,0.081110009,45.63,Swift,5.94,0.1,0.1,GH05,1.57,Swift
608,1166,342.1716,-51.165,0.1,45.27,Swift,,,,None,,None
609,1167,342.1847,17.4509,0.085729742,45.23,Swift,,,,None,,None
610,1168,342.7155,-8.9158,0.065286971,43.9,BASS,7.49,0.3,0.3,TN12,-1.77,TN12
611,1170,342.9471,-32.104,0.246,46.23,Swift,,,,None,,None
612,1171,343.4906,16.1482,0.859,48.58,Swift,,,,None,,None
613,1172,343.5242,-17.5819,0.064339861,45.44,BASS,8.44,0.3,0.3,TN12,-1.17,TN12
614,1176,344.1521,5.4214,0.069935157,44.75,BASS,7.05,0.3,0.3,TN12,-0.47,TN12
615,1177,344.7303458,40.9322139,0.017247511,44.01,Swift,9.8,0.35,0.35,stellar,,None
616,1178,344.8871,24.9182,0.033339005,44.25,BASS,6.92,0.3,0.3,TN12,-0.85,TN12
617,1179,345.401,-59.2225,0.150079922,45.56,Swift,,,,None,,None
618,1181,345.762,-18.69,0.128917766,45.53,Swift,,,,None,,None
619,1182,345.8151,8.874,0.015984974,44.69,BASS,7.32,0.3,0.3,TN12,-0.81,TN12
620,1183,346.1811,-8.6857,0.046839565,44.81,BASS,8.55,0.3,0.3,TN12,-1.91,TN12
621,1184,346.2361,12.3229,0.007052014,43.35,Swift,5.1,0.1,0.1,GH05,0.13,Swift
